area,area_name,occ_code,occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,year,occ
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2032,Choreographers,,,31.36,65230,16.8,13.66,20.63,25.68,30.93,68.58,28420,42910,53420,64330,142650,2007,choreo
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9031,Fitness trainers and aerobics instructors,17120,9.9,21.54,44800,2.4,8.34,11.92,19.87,28.49,38.23,17340,24780,41330,59260,79520,2007,fit_trainer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9032,Recreation workers,19800,4.0,12.25,25480,1.4,7.54,8.84,11.10,14.53,18.47,15680,18380,23080,30230,38420,2007,rec_worker
Seattle,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,1682770,0.7,23.35,48560,2.0,9.55,12.79,18.85,29.34,42.67,19870,26600,39210,61030,88760,2007,all_jobs
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2031,Dancers,300,44.0,18.23,,14.0,7.95,10.72,12.59,27.43,30.12,,,,,,2007,dancer
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2032,Choreographers,,,17.36,36110,10.4,10.65,12.10,16.85,19.21,30.45,22140,25170,35050,39950,63330,2007,choreo
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9031,Fitness trainers and aerobics instructors,3860,7.1,19.78,41150,6.3,9.06,10.88,17.38,27.68,34.88,18850,22630,36150,57570,72550,2007,fit_trainer
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9032,Recreation workers,2250,12.2,12.09,25150,2.0,8.18,9.14,10.99,13.86,18.15,17020,19010,22850,28820,37750,2007,rec_worker
All,U.S. all,00-0000,All Occupations,135185230,0.1,         20.32,         42270,           0.1,          8.02,         10.38,         15.57,         24.78,         37.99,         16680,         21590,         32390,         51540,         79020,2008,all_jobs
All,U.S. all,27-2031,Dancers,11370,6.6,         15.06,,           2.7,          7.28,          8.03,         12.22,         18.82,         27.26,,,,,,2008,dancer
All,U.S. all,27-2032,Choreographers,13860,6.5,         20.13,         41870,           2.3,          8.60,         12.17,         18.52,         26.62,         32.29,         17880,         25320,         38520,         55360,         67160,2008,choreo
All,U.S. all,39-9031,Fitness trainers and aerobics instructors,229030,1.3,         16.50,         34310,           0.9,          7.75,          9.43,         14.04,         21.35,         29.21,         16120,         19610,         29210,         44420,         60760,2008,fit_trainer
All,U.S. all,39-9032,Recreation workers,282680,1.1,         11.81,         24570,           0.4,          7.52,          8.50,         10.56,         13.85,         18.14,         15630,         17680,         21960,         28810,         37730,2008,rec_worker
LA,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,5686130,0.5,22.90,47640,0.8,8.68,10.77,17.12,28.67,44.34,18050,22390,35610,59630,92230,2008,all_jobs
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2031,Dancers,940,28.7,15.15,,10.4,8.27,9.27,12.07,21.22,23.82,,,,,,2008,dancer
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2032,Choreographers,960,32.9,22.67,47160,7.6,12.23,14.11,21.63,28.35,33.29,25440,29340,44980,58970,69240,2008,choreo
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9031,Fitness trainers and aerobics instructors,9970,5.1,19.21,39960,2.6,10.07,13.31,18.13,24.47,30.32,20940,27670,37710,50910,63060,2008,fit_trainer
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9032,Recreation workers,12630,5.2,11.56,24040,1.6,8.25,9.13,10.83,12.93,15.86,17160,18990,22520,26890,32980,2008,rec_worker
SanFran,"San Francisco-Oakland-Fremont, CA",00-0000,All Occupations,2053540,0.8,27.31,56810,0.7,9.54,13.31,21.60,34.74,52.34,19850,27670,44930,72270,108860,2008,all_jobs
SanFran,"San Francisco-Oakland-Fremont, CA",27-2031,Dancers,400,41.9,17.99,,8.4,13.17,15.00,17.23,19.30,23.09,,,,,,2008,dancer
SanFran,"San Francisco-Oakland-Fremont, CA",27-2032,Choreographers,440,34.7,26.48,55090,6.2,14.35,20.40,27.14,31.70,38.42,29850,42430,56450,65930,79910,2008,choreo
SanFran,"San Francisco-Oakland-Fremont, CA",39-9031,Fitness trainers and aerobics instructors,5390,7.1,20.96,43600,2.9,11.09,14.84,19.50,25.90,32.51,23060,30860,40560,53860,67620,2008,fit_trainer
SanFran,"San Francisco-Oakland-Fremont, CA",39-9032,Recreation workers,5630,7.8,13.59,28270,1.8,8.66,10.07,12.57,16.11,19.72,18020,20940,26150,33510,41030,2008,rec_worker
